Customers 1000 
Coordinate X		 Coordinate Y 		Demand 
-11.162672  -5.390584  2.11359  
-5.88866  -12.277481  1.174997  
5.353754  7.374993  2.043747  
-10.976833  -14.599397  1.005352  
-4.632783  5.069399  0.929362  
4.884113  -2.718039  1.482047  
2.131807  7.971316  1.302439  
-4.492154  14.183792  1.98108  
7.051266  0.295236  44.631961  
-3.802417  -14.305521  1.354976  
-11.288547  -1.769428  2.704986  
10.671737  10.767225  2.035228  
-1.183278  -14.730131  1.239456  
-6.417802  -0.978105  47.355358  
9.480537  14.184809  1.222338  
1.933119  -1.493658  1.200129  
-7.286897  9.427493  38.104156  
8.645919  -3.992106  2.226515  
1.738358  -10.575143  57.200362  
-1.626808  10.655389  24.527014  
12.551672  5.166645  38.719155  
-10.246816  12.561469  1.91242  
6.13562  -5.848451  2.209113  
0.730652  4.406979  1.382129  
-8.023185  5.630734  2.172503  
10.396008  13.94227  1.179547  
0.164063  0.920143  2.108568  
3.203481  4.388986  0.976826  
-7.879181  -9.704295  0.619632  
-7.264636  -9.961254  0.652774  
-7.758498  6.073954  1.253953  
7.307732  -12.551825  2.03373  
-1.609865  -11.271681  1.731161  
-1.327179  6.270509  0.209686  
3.362766  3.999779  1.449932  
-0.630961  -12.372691  0.663346  
-5.462735  12.631888  0.489299  
-1.425097  -4.899854  1.071376  
-3.120984  3.435073  2.018432  
7.85195  13.056072  1.508435  
-12.609182  5.752515  1.350891  
-0.39172  11.517527  1.67293  
-8.725087  -9.540998  0.730172  
1.793663  -6.99993  1.883395  
0.277794  8.73054  2.180779  
-3.071883  -13.575547  1.645475  
4.464072  -3.748485  1.862911  
8.850415  12.570419  2.228404  
-9.411272  -5.761505  0.398911  
-8.413394  6.415684  0.671825  
-8.800565  12.119005  0.373875  
1.798679  12.278611  0.220257  
8.451116  -1.796827  1.236896  
-6.817307  -1.86738  0.933931  
9.394252  -5.499151  3.583717  
6.901149  -7.389209  0.469237  
-0.907032  -3.882146  1.969169  
-1.479027  -1.321609  36.455204  
2.361842  -5.920713  55.385613  
-6.012532  -6.763845  1.401643  
9.483355  4.774161  0.361489  
-7.62578  5.432401  1.272554  
-8.365245  2.412356  25.304127  
-1.648148  11.169666  2.076261  
0.222797  8.56229  1.172326  
11.844328  10.395397  58.993003  
0.118078  -9.021926  1.52454  
14.295654  -7.531157  1.70494  
-11.505345  2.456638  1.153661  
-4.520163  10.168137  1.820543  
-1.402445  -12.815443  0.341384  
-1.754652  -7.695343  1.458908  
6.961603  4.95366  42.585517  
10.81061  7.217199  1.763433  
10.244  3.393272  13.162885  
-12.211544  11.657955  1.699846  
-1.366721  5.788245  0.434932  
5.297645  10.867664  0.348709  
4.101549  -11.870858  1.27137  
-8.018045  8.626415  39.95811  
5.653334  -0.943816  46.601708  
4.872341  11.295677  0.600793  
11.616072  7.651675  45.630647  
-6.372223  -2.981844  0.569664  
-6.201559  13.619396  1.429791  
4.724065  -12.629924  0.79507  
-0.641145  9.571477  2.157079  
2.219739  11.359684  37.993525  
13.0006  9.468439  41.34381  
-2.909581  -9.04399  1.187003  
3.855968  7.231994  0.370778  
-3.676349  -13.012196  1.497516  
-13.546735  4.589252  2.129336  
9.970788  -5.896285  2.212066  
8.232056  -10.014598  45.650145  
-3.841003  -8.426883  1.975992  
5.892006  -2.734305  1.384246  
-12.548774  3.633205  1.921396  
4.69262  -14.504634  1.622763  
14.540213  1.1319  1.978874  
1.971968  13.312303  1.164813  
7.943227  -12.75826  0.89363  
-10.734014  -5.464157  0.66943  
-9.201595  -13.410807  1.336308  
-4.173014  5.374106  0.333965  
0.355247  -11.735739  28.013192  
-14.884557  7.135998  1.517583  
12.139317  -0.408073  1.165174  
12.167987  9.851957  1.880187  
0.287906  8.684642  2.137129  
-2.324021  -11.67399  1.694738  
-2.027019  9.899618  0.390806  
-8.365589  -5.732339  53.201814  
-12.022384  8.798685  0.749574  
13.359887  -7.256879  1.437726  
-4.125297  10.015487  1.728913  
-11.266652  -12.507199  1.518232  
-5.415826  -8.592523  6.584263  
-2.488153  -3.544781  2.029161  
14.393774  0.223548  43.731916  
3.911153  14.298087  58.870074  
-6.698399  -0.364438  0.577992  
-2.411856  7.084491  2.125133  
3.664796  3.057395  1.123159  
-0.779677  7.815382  1.739948  
-2.61163  -9.171836  1.268244  
-10.753041  -3.720686  1.120429  
9.132428  11.403377  0.821956  
0.927065  -7.089655  1.862678  
-2.301902  13.83732  51.250277  
-3.741498  0.639238  0.382576  
7.956575  12.485639  1.898863  
-4.552365  -6.379093  0.989235  
3.266737  -5.529343  1.128457  
-7.119805  12.347931  1.006261  
-11.820985  -2.638154  0.827243  
-9.663422  -6.5965  0.93572  
13.510213  -11.961756  2.012559  
-9.823508  10.982131  1.050497  
5.607577  1.004646  1.99748  
-9.787657  5.042323  1.610057  
9.811611  -12.259661  0.901292  
10.774235  6.489397  15.379994  
7.175766  -8.200495  1.523211  
9.933768  5.586348  0.384  
7.825246  9.922031  1.071015  
-10.669705  -0.419224  5.962421  
13.875919  14.637374  20.584825  
-4.875496  -10.134705  1.775001  
-9.457809  -3.558624  1.829273  
-4.332174  3.599466  43.175783  
-2.154828  8.132397  29.564191  
-2.844549  7.747417  0.437752  
-4.943351  -13.384938  1.191823  
14.009272  -13.44346  0.552397  
-4.116125  7.737195  49.027178  
4.589646  0.359775  0.695262  
-9.468872  -5.321477  49.755247  
-10.599063  -4.012402  0.908934  
11.878187  14.055833  2.147108  
-9.611703  12.073179  0.225551  
-9.992412  -7.576981  59.587244  
9.291809  -9.520708  0.9431  
9.323254  0.447024  1.297736  
10.854823  -12.54092  2.090038  
0.469639  -4.638613  19.38443  
8.713275  3.819414  1.357395  
14.623374  -12.762999  37.020534  
-0.590944  -2.273811  19.89091  
12.585967  10.413517  5.940182  
-13.810107  12.94245  32.492751  
11.106736  -5.808266  1.148729  
-12.838491  -4.456341  1.86566  
14.386017  10.182447  52.413742  
13.849959  9.007443  0.627174  
8.33879  2.530612  0.277088  
14.518929  13.974743  0.430183  
-1.758819  -10.557102  1.224627  
-14.291185  -1.132639  0.237906  
7.283379  8.901501  1.294224  
-5.445341  -12.815254  1.198594  
-2.802946  12.846892  0.429487  
-2.719829  12.842342  1.079166  
-8.510438  7.105924  44.319585  
-8.707776  11.034775  12.819076  
-0.625376  10.181541  2.067275  
-4.671519  -8.783846  1.194933  
10.375749  -14.166695  2.208208  
13.756199  6.416698  1.333077  
-2.05117  12.352276  1.262362  
-3.607042  -5.780944  0.907578  
5.622837  -12.459748  0.979233  
-11.675242  -0.094341  35.510517  
-12.377289  -8.115819  23.591787  
-6.03195  6.76864  1.665199  
-7.786092  -10.669788  47.222348  
13.850082  1.093454  0.954032  
9.079627  9.688519  8.030871  
-2.385727  -13.271945  1.540664  
-6.906182  -14.192637  26.77948  
4.728843  1.366545  0.966582  
0.25139  8.636187  25.922013  
7.446926  12.474132  1.293586  
-1.122673  -9.666368  0.829968  
-13.089203  -6.588534  2.126036  
6.38342  -9.764319  1.091099  
14.281418  4.898074  1.539386  
14.861798  6.440436  0.863524  
-13.099104  -2.704205  0.674587  
10.779823  -7.509279  1.661659  
4.032956  -13.746639  1.798  
6.888754  -14.595396  1.308597  
6.181405  -9.111841  0.419255  
-6.542198  -5.059052  1.679909  
-6.377015  -12.407522  15.826879  
-4.11216  1.282755  0.808613  
14.453834  -5.701623  2.044767  
-14.227003  -1.833378  1.738814  
-3.393262  5.049724  0.413404  
-8.787429  -5.245118  0.383466  
5.226904  -5.938735  1.44339  
3.851274  2.418658  1.554935  
8.772336  0.690167  1.099286  
3.215117  0.697314  0.663116  
12.055003  -10.235791  1.854849  
10.445668  14.230914  10.828162  
9.971801  -6.688231  21.205285  
-4.850442  14.692137  1.024691  
-9.933684  -10.814753  0.320359  
-10.57473  -10.695654  2.097081  
7.826787  1.848814  1.854346  
-3.571329  -7.460303  1.015683  
4.289823  2.650851  13.887792  
-3.267762  -7.672488  0.600517  
6.460882  -9.201039  1.158362  
-0.153929  -7.836302  0.828523  
4.183287  -0.090302  0.851965  
4.577782  -13.778579  16.92279  
4.825295  6.380594  1.301258  
4.139324  14.062274  1.178501  
5.518308  10.303906  1.409748  
13.59199  12.133476  1.054678  
2.89327  13.898177  0.981499  
-1.383008  -3.041995  1.83149  
-13.498194  13.385843  1.397026  
-13.929705  -1.465178  2.069312  
-6.33382  -14.185914  1.222053  
-11.810065  10.466448  0.992384  
-14.496007  -0.607919  1.556567  
-1.0485  5.446922  1.880764  
8.743485  12.958511  0.611623  
-1.630409  3.825315  57.113344  
-4.225802  -14.397436  0.737067  
-4.780644  -13.478811  0.877384  
5.60344  3.684359  1.331775  
-8.604294  -10.016248  0.649003  
-12.051755  -1.942348  54.133044  
-7.561087  -14.240843  0.628744  
8.899904  1.633156  1.253314  
-2.74094  10.851055  1.086609  
-4.546757  5.547111  0.388467  
5.675411  -14.493706  0.683644  
-8.839784  1.431084  1.872007  
-9.444894  5.066189  11.476807  
4.046644  3.757915  0.608169  
-0.77481  9.566611  1.893716  
2.681477  -12.792015  2.064847  
12.523567  -1.489416  0.907153  
-8.984178  3.012764  0.424424  
5.845818  12.761775  0.530904  
-3.264459  10.707285  0.801806  
-1.497955  2.494043  0.974896  
-6.494082  8.348791  0.60718  
-13.648921  6.748105  0.903416  
10.521516  -2.794087  0.750319  
-9.466695  2.725062  0.834766  
-0.710341  -2.531667  0.263288  
-8.717896  12.684536  58.598403  
7.575211  4.935751  0.354821  
1.742086  4.909103  0.42275  
-10.536806  -9.321444  1.304379  
1.962698  8.861881  0.503243  
8.897924  4.633207  1.147738  
-8.842837  7.070598  2.233746  
11.627885  13.621918  1.070161  
7.085442  -11.6368  2.23929  
-3.557027  0.528129  1.322249  
-8.756549  6.230714  0.606638  
-0.998878  -8.470292  1.117051  
3.64007  -10.296845  1.681441  
12.101236  -9.488359  1.78405  
-12.189923  -10.246015  33.563048  
-3.433124  6.062216  1.612067  
10.286182  -14.876307  3.007052  
0.356881  8.094743  9.963055  
14.956416  10.971064  2.098261  
-7.547228  -7.057167  1.659461  
-8.520946  9.267941  1.065255  
3.585064  0.764165  0.646809  
-14.947606  1.556552  19.695533  
5.818999  0.159411  0.69476  
0.25639  -9.852829  0.322268  
-3.4413  -10.823165  1.287609  
12.932625  10.449718  2.164439  
-6.287311  -10.035863  1.865196  
-1.415438  4.005154  0.677082  
-14.427006  -4.738765  0.50165  
7.030672  -4.726696  0.659712  
5.922245  -9.576144  1.21838  
-0.074851  6.447978  0.832022  
10.362824  -6.237393  1.241512  
11.692599  -4.051932  0.373177  
2.95347  4.87515  19.618168  
12.714033  -14.191513  0.488766  
-9.407552  -5.334839  1.31816  
-0.183432  -6.072648  2.241144  
2.469744  -7.851453  2.036414  
3.949437  -12.27303  0.690395  
7.062604  8.035852  1.761832  
-10.770532  2.363363  2.206777  
3.086865  -9.115572  0.448473  
4.606523  7.916764  2.09475  
-14.307672  -4.340298  2.003643  
-5.172831  4.022219  1.911948  
-0.880258  -7.118097  1.636142  
-1.764642  -7.338832  0.31548  
-4.391457  7.745024  1.967143  
-9.079234  -3.991874  1.497699  
12.923286  -6.436174  1.950352  
-6.442885  6.302233  59.004514  
4.531047  6.724572  55.871695  
-3.147763  7.844578  0.770486  
10.579828  12.027187  1.311916  
0.958161  -1.549601  0.400912  
3.593679  -5.082209  1.621196  
-6.745887  0.04544  1.939403  
-3.672748  3.912641  0.425312  
9.469744  2.060453  0.571327  
-14.762877  -9.009238  0.680933  
-2.891411  12.737289  0.721973  
11.171125  -12.978173  0.918032  
2.500302  9.362984  1.379082  
-2.566936  -3.988946  49.429736  
-11.455829  -0.276448  30.439277  
13.331825  7.717542  46.331426  
2.47817  -9.604814  0.951216  
10.120268  -6.676853  0.292629  
-1.551918  -6.197922  0.763067  
-8.368081  -0.494721  1.220462  
-3.74735  14.144495  1.39771  
-10.856532  -1.196625  5.74404  
4.092459  -12.513223  57.472812  
8.445386  -6.923256  0.974898  
12.107021  -5.531205  13.361149  
