Customers 50
Coordinate X		 Coordinate Y 		Demand 
40.0  50.0  0.0
45.0  68.0  1.0
45.0  70.0  1.0
42.0  66.0  1.0
42.0  68.0  1.0
42.0  65.0  1.0
40.0  69.0  1.0
40.0  66.0  1.0
38.0  68.0  1.0
38.0  70.0  1.0
35.0  66.0  1.0
35.0  69.0  1.0
25.0  85.0  1.0
22.0  75.0  1.0
22.0  85.0  1.0
20.0  80.0  1.0
20.0  85.0  1.0
18.0  75.0  1.0
15.0  75.0  1.0
15.0  80.0  1.0
30.0  50.0  1.0
30.0  52.0  1.0
28.0  52.0  1.0
28.0  55.0  1.0
25.0  50.0  1.0
25.0  52.0  1.0
25.0  55.0  1.0
23.0  52.0  1.0
23.0  55.0  1.0
20.0  50.0  1.0
20.0  55.0  1.0
10.0  35.0  1.0
10.0  40.0  1.0
8.0  40.0  1.0
8.0  45.0  1.0
5.0  35.0  1.0
5.0  45.0  1.0
2.0  40.0  1.0
0.0  40.0  1.0
0.0  45.0  1.0
35.0  30.0  1.0
35.0  32.0  1.0
33.0  32.0  1.0
33.0  35.0  1.0
32.0  30.0  1.0
30.0  30.0  1.0
30.0  32.0  1.0
30.0  35.0  1.0
28.0  30.0  1.0
28.0  35.0  1.0
26.0  32.0  1.0
