Customers 50
Coordinate X		 Coordinate Y 		Demand 
35.0  35.0	0.0
41.0  49.0  1.0
35.0  17.0  1.0
55.0  45.0  1.0
55.0  20.0  1.0
15.0  30.0  1.0
25.0  30.0  1.0
20.0  50.0  1.0
10.0  43.0  1.0
55.0  60.0  1.0
30.0  60.0  1.0
20.0  65.0  1.0
50.0  35.0  1.0
30.0  25.0  1.0
15.0  10.0  1.0
30.0  5.0  1.0
10.0  20.0  1.0
5.0  30.0  1.0
20.0  40.0  1.0
15.0  60.0  1.0
45.0  65.0  1.0
45.0  20.0  1.0
45.0  10.0  1.0
55.0  5.0  1.0
65.0  35.0  1.0
65.0  20.0  1.0
45.0  30.0  1.0
35.0  40.0  1.0
41.0  37.0  1.0
64.0  42.0  1.0
40.0  60.0  1.0
31.0  52.0  1.0
35.0  69.0  1.0
53.0  52.0  1.0
65.0  55.0  1.0
63.0  65.0  1.0
2.0  60.0  1.0
20.0  20.0  1.0
5.0  5.0  1.0
60.0  12.0  1.0
40.0  25.0  1.0
42.0  7.0  1.0
24.0  12.0  1.0
23.0  3.0  1.0
11.0  14.0  1.0
6.0  38.0  1.0
2.0  48.0  1.0
8.0  56.0  1.0
13.0  52.0  1.0
6.0  68.0  1.0
47.0  47.0  1.0
