Customers 50
Coordinate X		 Coordinate Y 		Demand 
40.0  50.0  0.0
25.0  85.0  1.0
22.0  75.0  1.0
22.0  85.0  1.0
20.0  80.0  1.0
20.0  85.0  1.0
18.0  75.0  1.0
15.0  75.0  1.0
15.0  80.0  1.0
10.0  35.0  1.0
10.0  40.0  1.0
8.0  40.0  1.0
8.0  45.0  1.0
5.0  35.0  1.0
5.0  45.0  1.0
2.0  40.0  1.0
0.0  40.0  1.0
0.0  45.0  1.0
44.0  5.0  1.0
42.0  10.0  1.0
42.0  15.0  1.0
40.0  5.0  1.0
40.0  15.0  1.0
38.0  5.0  1.0
38.0  15.0  1.0
35.0  5.0  1.0
95.0  30.0  1.0
95.0  35.0  1.0
92.0  30.0  1.0
90.0  35.0  1.0
88.0  30.0  1.0
88.0  35.0  1.0
87.0  30.0  1.0
85.0  25.0  1.0
85.0  35.0  1.0
67.0  85.0  1.0
65.0  85.0  1.0
65.0  82.0  1.0
62.0  80.0  1.0
60.0  80.0  1.0
60.0  85.0  1.0
58.0  75.0  1.0
55.0  80.0  1.0
55.0  85.0  1.0
55.0  82.0  1.0
20.0  82.0  1.0
18.0  80.0  1.0
2.0  45.0  1.0
42.0  5.0  1.0
42.0  12.0  1.0
72.0  35.0  1.0
